1	"Meng, X., Zhang, J.-W., Xu, J. & Guo, H.*"	Quantum spatial-periodic harmonic model for daily price-limited stock markets.	"Physica A 438, 154Ð160 (2015)."	doi:10.1016/j.physa.2015.06.041	quantum-network
14	"Meng, X., Cui, Y., Gao, J., Havlin, S. & Ruckenstein, A. E.*"	Deterministic Entanglement Transmission on Series-Parallel Quantum Networks.		"arXiv:2110.04981 [cond-mat, physics:quant-ph] (2022). at <http://arxiv.org/abs/2110.04981>"	quantum-network
